"suite","scenario","alpha_true","n","prior_delta","prior_center","method","pig_N","reps","ks_mean","ks_se","w1_mean","w1_se","ess_iter_median","ess_sec_median","acf1_mean","acf10_mean","coverage","runtime_median","runtime_p90","mean_error"
"prior","delta=10, center=2",2,30,10,2,"P-IG Gibbs",200,2,0.0204077242872733,0.0007698033198528,0.0192136676828586,0.00075003261253785,0.0530975663009927,95.6372288510435,0.875489735037094,0.219624828106366,1,2.778,2.8276,0.244376935790785
"prior","delta=2.5, center=0.5",2,30,2.5,0.5,"Numerical grid",NA,2,0,0,0,0,NA,NA,NA,NA,1,NA,NA,-0.04055452193541
"prior","delta=2.5, center=10",2,30,2.5,10,"Numerical grid",NA,2,0,0,0,0,NA,NA,NA,NA,0,NA,NA,-0.80389554772568
"prior","delta=2.5, center=2",2,30,2.5,2,"Numerical grid",NA,2,0,0,0,0,NA,NA,NA,NA,1,NA,NA,0.323662616150795
"prior","delta=50, center=0.5",2,30,50,0.5,"Numerical grid",NA,2,0,0,0,0,NA,NA,NA,NA,0,NA,NA,-1.42565007607389
"prior","delta=50, center=0.5",2,30,50,0.5,"P-IG Gibbs",200,2,0.016975850034686,0.0060242362629423,0.00180282134049846,0.000636285597763285,0.269993117028721,339.688964315148,0.495258768740645,-0.00777752775584487,0,3.974,4.006,-1.42507818367839
"prior","delta=50, center=10",2,30,50,10,"Numerical grid",NA,2,0,0,0,0,NA,NA,NA,NA,1,NA,NA,-0.24883029664105
"prior","delta=50, center=10",2,30,50,10,"P-IG Gibbs",200,2,0.0339987357465059,0.014240116106705,0.0163051379241462,0.00883584783617116,0.0775240785587012,77.551843223007,0.82355027378888,0.167085069841792,1,5.07,5.9076,-0.24015807342505
"prior","delta=50, center=2",2,30,50,2,"Numerical grid",NA,2,0,0,0,0,NA,NA,NA,NA,1,NA,NA,0.29047084012857
"prior","delta=50, center=2",2,30,50,2,"P-IG Gibbs",200,2,0.0393921469043798,0.0013489753356428,0.027886523582823,0.00020352433478835,0.0581975397110406,72.7738782377033,0.867187558007664,0.233096129875147,1,4.00099999999999,4.03619999999999,0.26514017453562
"truncation","alpha=0.1, n=10",0.1,10,0,NA,"Numerical grid",NA,2,0,0,0,0,NA,NA,NA,NA,0.5,NA,NA,0.088901880389046
"truncation","alpha=0.1, n=10",0.1,10,0,NA,"P-IG Gibbs N=100",100,2,0.018752691955478,0.0014708170438869,0.00199578107627931,0.00130963681079661,0.667698387914256,2433.77984426768,0.106779503109083,-0.0148424160342381,0.5,1.443,1.651,0.087629530312333
"truncation","alpha=0.1, n=10",0.1,10,0,NA,"P-IG Gibbs N=1000",1000,2,0.0202032859431253,0.0015007268341097,0.00189654951906175,0.000916450179129591,0.628767653902135,258.732312516009,0.117897091536945,0.0166463233177304,0.5,12.1905,12.4149,0.087965704641933
"truncation","alpha=0.1, n=10",0.1,10,0,NA,"P-IG Gibbs N=200",200,2,0.0170127337427046,0.00569171786894005,0.00108320283963533,0.000259519047734476,0.727896416463901,1491.92649314145,0.100558667421044,0.0146049159803492,0.5,2.436,2.45039999999999,0.087875273206829
"truncation","alpha=0.1, n=10",0.1,10,0,NA,"P-IG Gibbs N=50",50,2,0.0105850081374039,0.00126833263786108,0.00122219091882765,0.000568412169125749,0.610497457438706,3703.04683631106,0.115142298124861,-0.0100278431137055,0.5,0.852000000000004,0.955200000000008,0.0894402689287655
"truncation","alpha=0.1, n=10",0.1,10,0,NA,"P-IG Gibbs N=500",500,2,0.012426423999267,0.00063224215571165,0.00114329109110602,0.000516905898937564,0.595838994196301,497.221151559241,0.138773023721848,-0.00208109492121555,0.5,5.961,6.1962,0.087863861798137
"truncation","alpha=0.1, n=50",0.1,50,0,NA,"Numerical grid",NA,2,0,0,0,0,NA,NA,NA,NA,1,NA,NA,0.00593522841306549
"truncation","alpha=0.1, n=50",0.1,50,0,NA,"P-IG Gibbs N=100",100,2,0.0156055446135227,0.00281856882979,0.000363406837371591,2.40622547885355e-05,0.713387739429207,1581.57602386064,0.0724253615551294,-0.00984985496469624,1,2.28000000000001,2.50720000000001,0.00615578316542249
"truncation","alpha=0.1, n=50",0.1,50,0,NA,"P-IG Gibbs N=1000",1000,2,0.0135489274345479,0.000352293281488499,0.000339601470111425,2.5540290112446e-05,0.668644033423349,203.315842112779,0.0893289040123517,0.0106433172659904,1,16.633,18.005,0.0060347798411025
"truncation","alpha=0.1, n=50",0.1,50,0,NA,"P-IG Gibbs N=200",200,2,0.0100952970806392,0.000923355225190985,0.000239187309729833,1.1991678298739e-05,0.662804570103982,855.742404601737,0.0938111126231722,0.00591745535225003,1,3.8885,4.0513,0.0058543120243735
"truncation","alpha=0.1, n=50",0.1,50,0,NA,"P-IG Gibbs N=50",50,2,0.0155670568396406,0.00679834557928641,0.000476898202143718,0.000286100052160712,0.720234454975375,2862.20758460704,0.0910579283083643,-0.0042698030498513,1,1.2785,1.4197,0.00560072049017699
"truncation","alpha=0.1, n=50",0.1,50,0,NA,"P-IG Gibbs N=500",500,2,0.0196674784216261,0.00290231052513545,0.000416755859652323,2.373384302554e-05,0.651476178569779,343.062304853737,0.102227962895133,-0.0188421674307018,1,9.651,10.5926,0.005919395524808
"truncation","alpha=2, n=10",2,10,0,NA,"Numerical grid",NA,2,0,0,0,0,NA,NA,NA,NA,1,NA,NA,0.782582477490945
"truncation","alpha=2, n=10",2,10,0,NA,"P-IG Gibbs N=100",100,2,0.0455849714952748,0.0078996357101904,0.11457951626851,0.0041475305378725,0.0519039262801553,158.706141507299,0.878782056215818,0.350009139677818,1,1.597,1.7578,0.786100001146015
"truncation","alpha=2, n=10",2,10,0,NA,"P-IG Gibbs N=1000",1000,2,0.0229236821183906,0.000460404732290899,0.0489080249622433,0.0068972802204276,0.0507674913459032,21.0857663920116,0.880839215200742,0.306612413225878,1,11.9785,12.3101,0.823046174636285
"truncation","alpha=2, n=10",2,10,0,NA,"P-IG Gibbs N=200",200,2,0.0328782026672597,0.0196005896922648,0.091771130287079,0.063971170042578,0.0565155826726305,112.143686862321,0.868813197807055,0.267808546430558,1,2.4925,2.5705,0.855280371599345
"truncation","alpha=2, n=10",2,10,0,NA,"P-IG Gibbs N=50",50,2,0.0258371901100843,0.00067779927064825,0.0740505806187854,0.0217964251764575,0.0515841286244157,298.061900061496,0.881664111046704,0.297968612817,1,0.832999999999998,0.957800000000003,0.78027479090132
"truncation","alpha=2, n=10",2,10,0,NA,"P-IG Gibbs N=500",500,2,0.0156690666839815,0.00261421869070695,0.0324470037673889,0.0063679323520274,0.0502057354259874,41.7317110549558,0.872305044816209,0.319280704413353,1,6.1965,6.5369,0.76831640278022
"truncation","alpha=2, n=50",2,50,0,NA,"Numerical grid",NA,2,0,0,0,0,NA,NA,NA,NA,1,NA,NA,0.40132081302052
"truncation","alpha=2, n=50",2,50,0,NA,"P-IG Gibbs N=100",100,2,0.0273460351875261,0.0138761533625923,0.0268709300993277,0.0114162451795327,0.0472727348011558,103.025611979121,0.884591319706683,0.316017380070426,1,2.3475,2.5487,0.41290525904732
"truncation","alpha=2, n=50",2,50,0,NA,"P-IG Gibbs N=1000",1000,2,0.015111277236189,0.0023434568578238,0.01231305228363,0.00233889474667056,0.0550254844491154,17.0611487775145,0.87131221687057,0.299631434804889,1,16.496,18.0096,0.4062735793586
"truncation","alpha=2, n=50",2,50,0,NA,"P-IG Gibbs N=200",200,2,0.0180747960431378,0.00521163917805845,0.018266390136437,0.00809952977277935,0.0514543465415163,68.6085447428161,0.879138125357469,0.318869433021297,1,3.7855,3.9979,0.41767525154939
"truncation","alpha=2, n=50",2,50,0,NA,"P-IG Gibbs N=50",50,2,0.0286684032643632,0.00436285255159725,0.032596622901361,0.0103361889926389,0.0494116413407623,207.588443044475,0.879359286786382,0.295701530654022,1,1.278,1.4276,0.4231647194422
"truncation","alpha=2, n=50",2,50,0,NA,"P-IG Gibbs N=500",500,2,0.0367853556883295,0.00238968806856835,0.0331235753867024,0.00246095924340455,0.0567055119917844,30.1370062290519,0.870196346571281,0.230240804663809,1,9.656,10.6088,0.39526570466691
"truncation","alpha=20, n=10",20,10,0,NA,"Numerical grid",NA,2,0,0,0,0,NA,NA,NA,NA,0.5,NA,NA,32.3645691781169
"truncation","alpha=20, n=10",20,10,0,NA,"P-IG Gibbs N=100",100,2,0.146434775016594,0.0529483783219022,5.09259468145873,3.56516507901923,0.00355546735924275,13.0438084508034,0.991176872977167,0.924446471341058,0.5,1.657,1.91860000000001,29.3756738596473
"truncation","alpha=20, n=10",20,10,0,NA,"P-IG Gibbs N=1000",1000,2,0.318067726627299,0.197573552395411,16.5043827050617,14.7814603448717,0.00346421192276277,1.69584517825749,0.991383640668028,0.918067870631462,0.5,11.047,12.1878,17.4100334139939
"truncation","alpha=20, n=10",20,10,0,NA,"P-IG Gibbs N=200",200,2,0.116762209305931,0.0687804538290237,7.20314383975736,5.93676384607624,0.00142009532562852,2.83117530059573,0.996461560509714,0.963202244158986,0.5,2.625,2.761,38.6265094504903
"truncation","alpha=20, n=10",20,10,0,NA,"P-IG Gibbs N=50",50,2,0.131385922051713,0.0279955400195385,4.89410835672075,3.81313005686138,0.00250371625224396,14.2203142635324,0.993927361079304,0.940986068794918,0.5,1.05450000000001,1.2701,32.0417334015417
"truncation","alpha=20, n=10",20,10,0,NA,"P-IG Gibbs N=500",500,2,0.100920049941449,0.0269875359365949,4.31622206837279,2.92132397531295,0.00219423360279451,2.12672920355087,0.994855249885814,0.948286335202566,0.5,5.689,6.2946,33.9650496399125
"truncation","alpha=20, n=50",20,50,0,NA,"Numerical grid",NA,2,0,0,0,0,NA,NA,NA,NA,1,NA,NA,3.39586807239825
"truncation","alpha=20, n=50",20,50,0,NA,"P-IG Gibbs N=100",100,2,0.0721320596301091,0.0025604877538848,0.66507910890974,0.245767390165836,0.00279361740445525,6.08723298720904,0.99281352478267,0.930684394940177,0.5,2.3645,2.6185,3.4048819761318
"truncation","alpha=20, n=50",20,50,0,NA,"P-IG Gibbs N=1000",1000,2,0.152411832064546,0.0712865547204198,1.35348420561504,0.607561713125176,0.00403116959186316,1.20746774066977,0.99013043364648,0.90469517152567,1,16.34,17.9584,2.0466755660457
"truncation","alpha=20, n=50",20,50,0,NA,"P-IG Gibbs N=200",200,2,0.133511934576813,0.0419129582714704,1.36188067851058,0.643585415260548,0.00387910976331356,4.97540230716823,0.990348696609972,0.909371405129018,0.5,3.85850000000001,4.29170000000001,4.4379045011195
"truncation","alpha=20, n=50",20,50,0,NA,"P-IG Gibbs N=50",50,2,0.158549415209683,0.00969304203268349,1.43924083172166,0.02284995122429,0.00276371742802402,9.75805603695079,0.993113021634378,0.929764299623391,1,1.4655,1.7459,3.4113526195238
"truncation","alpha=20, n=50",20,50,0,NA,"P-IG Gibbs N=500",500,2,0.162900354232092,0.0631520922249031,1.32040908210638,0.785433349237732,0.00251389993630113,1.40829076738547,0.993553087823994,0.937455731639306,1,9.138,10.5772,2.10762921659465
