"alpha_true","n","method","reps","rows","ks_mean","ks_se","w1_mean","w1_se","coverage","mean_error","ess_iter_median","ess_sec_median","runtime_median","runtime_p90","accept_median","acf1_mean","acf10_mean"
5,10,"Stirling-Gamma",200,200,0.0217256867091954,0.000642203520459475,0.142871522897765,0.000101179098127766,0.84,3.81376291923706,NA,NA,0.00300000000000011,0.00499999999999545,NA,NA,NA
5,50,"P-IG Gibbs",200,200,0.0555598419335779,0.00205860854980528,0.130031776542277,0.00621458356307649,0.925,0.769031443259576,0.0163135602153392,20.7501618329636,3.94049999999987,4.2162999999999,NA,0.95890602984308,0.660830033597664
5,50,"Slice-log-alpha",200,200,0.0144248416898731,0.000310312999631176,0.0238266041944241,0.000675507971989702,0.925,0.781204395976234,0.8,21012.9567736155,0.189,0.267499999999995,NA,0.00621190722178502,-0.00165254798834127
5,50,"Miller-IMH",200,200,0.0135865288148378,0.000306818229316448,0.0225378594006537,0.000653244747292301,0.925,0.779994703902622,0.8,48192.7710843383,0.0820000000000149,0.127100000000002,0.9976,0.0060661504994262,-0.00200096428153686
5,50,"Miller-Gamma",200,200,0.00135560143015675,1.81417369704741e-05,0.00464932428416911,2.84608761056365e-06,0.925,0.77536376482868,NA,NA,0.00300000000000011,0.00500000000000966,NA,NA,NA
5,50,"Stirling-Gamma",200,200,0.0605266684130453,0.00083356872790422,0.157012004337838,7.29076632209411e-05,0.945,0.623001086362118,NA,NA,0.00300000000000011,0.00499999999999545,NA,NA,NA
5,500,"P-IG Gibbs",200,200,0.0483475332300025,0.00168271208345244,0.031980393722208,0.00118084849066652,0.96,0.0598812322248839,0.0176756834334921,4.72913718997764,18.393,19.2827,NA,0.956341561228206,0.638724534895829
5,500,"Slice-log-alpha",200,200,0.0137414064760771,0.000301189046795785,0.00671836326211585,0.000181766035993468,0.955,0.0573573121743195,0.8,17936.8785416493,0.224000000000002,0.298100000000001,NA,0.00066555252550463,-0.00192200680697443
5,500,"Miller-IMH",200,200,0.0131620625285236,0.000258581259396149,0.00593536229629648,0.000137386189946219,0.955,0.0571007709321601,0.8,47619.0476190458,0.0839999999999979,0.123100000000017,0.9992,0.00324956098815273,-0.00116431636139297
5,500,"Miller-Gamma",200,200,0.000284964301668549,1.54859280372756e-06,0.00031621715024607,6.39305245078499e-07,0.955,0.0569047237260888,NA,NA,0.00499999999999545,0.0069999999999915,NA,NA,NA
5,500,"Stirling-Gamma",200,200,0.205487474505703,0.00081344602919856,0.160114591519446,2.48852657230388e-05,0.935,-0.102893650376791,NA,NA,0.00400000000000489,0.00600000000000023,NA,NA,NA
20,10,"P-IG Gibbs",200,200,0.147237583787646,0.00726395568895295,5.37842952439035,0.476219209476011,0.77,17.1019219064696,0.00254767563406341,5.8221492893975,2.29400000000001,2.67230000000045,NA,0.992795560051467,0.93119050971638
20,10,"Slice-log-alpha",200,200,0.0149439859953006,0.000335363102813399,0.340917138676046,0.0169828592511453,0.81,17.2059647563619,0.8,21054.4308657748,0.188499999999998,0.267100000000022,NA,0.0073358389068167,0.000790403385055203
20,10,"Miller-IMH",200,200,0.0133124657589051,0.000304868092806983,0.28212742577612,0.0132287736788839,0.8,17.2138076647176,0.8,47619.0476190468,0.0835000000000025,0.1221,0.999,0.00315614240112521,0.00332439618276695
20,10,"Miller-Gamma",200,200,0.000594895044112953,2.323541380876e-05,0.013495228849588,0.000232350213049773,0.81,17.1793203967311,NA,NA,0.00300000000000011,0.00600000000000023,NA,NA,NA
20,10,"Stirling-Gamma",200,200,0.00532983606974631,0.000186109330641818,0.138704402079616,0.000374909570089153,0.815,17.0529649520447,NA,NA,0.00300000000000011,0.00499999999999545,NA,NA,NA
