"prior_delta","prior_center","method","reps","rows","ks_mean","ks_se","w1_mean","w1_se","coverage","mean_error","ess_iter_median","ess_sec_median","runtime_median","runtime_p90","accept_median","acf1_mean","acf10_mean"
10,10,"P-IG Gibbs",100,100,0.0219294376482353,0.00101282137250126,0.0094016077580563,0.000560190615554816,0.15,-0.77731776669532,0.127315464547979,232.379206679894,2.73500000000013,2.98410000000031,NA,0.719658403235326,0.043896999222421
10,10,"Slice-log-alpha",100,100,0.0141604216543347,0.000409829483771923,0.0051833513163158,0.000214240228585287,0.12,-0.777792752056895,0.8,20182.343725217,0.1935,0.294099999999986,NA,0.00904587076056914,-0.00247258139128001
10,10,"Miller-IMH",100,100,0.0143324281815935,0.000377734447635329,0.00492671055552704,0.000166831692376364,0.12,-0.778302764860633,0.8,45008.7501938844,0.0865000000000151,0.124899999999997,0.9928,0.018168885182028,0.00294179047482503
10,10,"Miller-Gamma",100,100,0.00432565453087497,1.46597077365607e-05,0.0034409097761508,3.1706621797641e-05,0.11,-0.781759576659195,NA,NA,0.00300000000001432,0.00510000000002151,NA,NA,NA
10,10,"Stirling-Gamma",100,100,0.230725811394195,0.00242355369653828,0.133980826857157,0.000343232795225798,0.03,-0.912299492380417,NA,NA,0.00300000000001432,0.00500000000002387,NA,NA,NA
50,0.5,"P-IG Gibbs",100,100,0.0182535716080707,0.000675517631359843,0.00229264869820069,0.000105007164372956,0,-1.42923385313188,0.282941099072478,362.255877103616,3.92099999999983,4.33270000000075,NA,0.472941211099938,0.00343432001710574
50,0.5,"Slice-log-alpha",100,100,0.0145346437167923,0.000430544539329966,0.00166751035745908,5.47882139696052e-05,0,-1.42924095301741,0.8,20151.2613572905,0.19850000000001,0.283999999999995,NA,0.00413758128124926,0.00186855901093744
50,0.5,"Miller-IMH",100,100,0.0146113271061753,0.000450916958302532,0.00165639610749228,6.06028472128232e-05,0,-1.42910134588324,0.8,45669.3452968513,0.085000000000008,0.124299999999994,0.9944,0.0155330060433014,-0.0014949877379515
50,0.5,"Miller-Gamma",100,100,0.00308885010698965,2.34032598602745e-06,0.000830643179497449,3.77497841433129e-06,0,-1.42999056933081,NA,NA,0.00399999999999068,0.00600000000000023,NA,NA,NA
50,0.5,"Stirling-Gamma",100,100,0.551537866666804,0.00117585124255694,0.109745174530358,0.000154085854859784,0,-1.53890509995558,NA,NA,0.00399999999999068,0.00499999999999545,NA,NA,NA
50,2,"P-IG Gibbs",100,100,0.0278834644737371,0.00140587287214975,0.0164951062123086,0.000927360032393523,1,0.10908469169353,0.0614030059743688,75.0645325936832,3.95350000000008,4.26990000000023,NA,0.857480278466121,0.215601825506322
50,2,"Slice-log-alpha",100,100,0.0142597905266324,0.000348567717250606,0.00679561546551434,0.000232667497441089,1,0.111092417372289,0.8,20151.2613572905,0.197500000000006,0.265999999999994,NA,0.0021029463209596,-0.00319177398727804
50,2,"Miller-IMH",100,100,0.0135358436399155,0.00037349301014241,0.00620883207607192,0.000220946211359192,1,0.111040711928759,0.8,45555.2273668807,0.085000000000008,0.130700000000022,0.996,0.0148600545631267,-0.000779339735152053
50,2,"Miller-Gamma",100,100,0.00229998639759167,1.29785320159752e-05,0.00243110436706205,8.8859227906611e-06,1,0.108835385038004,NA,NA,0.00399999999999068,0.00510000000002151,NA,NA,NA
50,2,"Stirling-Gamma",100,100,0.195854980243498,0.0016477109859786,0.148706822397625,0.000149282222868328,1,-0.0374403320173987,NA,NA,0.00300000000001432,0.00499999999999545,NA,NA,NA
50,10,"P-IG Gibbs",100,100,0.0247494819294858,0.00102943192453462,0.0104154067196203,0.000552697917744649,0.48,-0.457247228462487,0.0917914236366828,117.756440194149,3.9414999999999,4.31900000000041,NA,0.79069578957469,0.0993674397933692
50,10,"Slice-log-alpha",100,100,0.013703052097511,0.000395993251926665,0.00478220453787186,0.000177220386494248,0.49,-0.456484285617952,0.8,20304.5685279185,0.197499999999991,0.269100000000003,NA,0.00204813816333216,0.000669212681889033
50,10,"Miller-IMH",100,100,0.0136372722775498,0.00040880800237427,0.00457976140551501,0.000169962795623437,0.5,-0.456239630575916,0.8,45381.9376914871,0.0870000000000033,0.13030000000002,0.9952,0.0159095239161317,-0.00107616021664794
50,10,"Miller-Gamma",100,100,0.00272516095251894,1.36476662752952e-05,0.00207848499803167,1.38325278776071e-05,0.48,-0.45882751801242,NA,NA,0.00399999999999068,0.00600000000000023,NA,NA,NA
50,10,"Stirling-Gamma",100,100,0.261363715408098,0.00261451617796887,0.142525677789535,0.000256254636123113,0.28,-0.59927470986762,NA,NA,0.0035000000000025,0.00500000000002387,NA,NA,NA
